country,mtCO2,population,GDP
Haiti,2100000.0,10485800,19340000000.0
South Sudan,2016000.0,12530717,20880000000.0
Malawi,1900000.0,18570321,21200000000.0
Togo,1800000.0,7756937,11610000000.0
Djibouti,1800000.0,846687,3345000000.0
Macau,1800000.0,597425,63220000000.0
Guam,1800000.0,162742,4882000000.0
Fiji,1700000.0,915303,8374000000.000001
Guyana,1700000.0,735909,6051000000.0
"Congo, Democratic Republic Of The",1400000.0,81331050,65040000000.00001
Burkina Faso,1400000.0,19512533,32990000000.000004
Guinea,1400000.0,12093349,16079999999.999998
Sierra Leone,1400000.0,6018888,10640000000.0
Seychelles,1400000.0,93186,2608000000.0
Barbados,1300000.0,291495,4804000000.0
Maldives,1200000.0,392960,5407000000.0
French Polynesia,1100000.0,285321,5490000000.0
Niger,900000.0,18638600,20150000000.0
Somalia,900000.0,10817354,4719000000.0
Aruba,900000.0,113648,2516000000.0
Malta,887700.0,415196,16320000000.0
Mali,800000.0,17467108,38090000000.0
Rwanda,800000.0,12988423,21970000000.0
Eritrea,800000.0,5869869,9169000000.0
Faroe Islands,800000.0,50456,2001000000.0
Belize,700000.0,353858,3088000000.0
Liberia,600000.0,4299944,3787000000.0
Swaziland,600000.0,1451428,10940000000.0
Antigua And Barbuda,600000.0,93581,2171000000.0
Bermuda,600000.0,70537,5198000000.0
American Samoa,600000.0,54194,711000000.0
Greenland,520400.0,57728,2173000000.0
Laos,500000.0,7019073,40960000000.0
"Gambia, The",500000.0,2009648,3387000000.0
Guinea-Bissau,500000.0,1759159,2851000000.0
Timor-Leste,500000.0,1261072,4975000000.0
Grenada,500000.0,111219,1511000000.0
Cayman Islands,500000.0,57268,2507000000.0
Central African Republic,400000.0,5507257,3206000000.0
Cabo Verde,400000.0,553432,3583000000.0
Saint Lucia,400000.0,164464,2083000000.0000002
Chad,300000.0,11852462,30590000000.0
Burundi,300000.0,11099298,7892000000.0
Lesotho,300000.0,1953070,6019000000.0
Solomon Islands,300000.0,635027,1198000000.0
Western Sahara,300000.0,587020,906500000.0
Saint Vincent And The Grenadines,300000.0,102350,1241000000.0
Marshall Islands,300000.0,73376,180000000.0
Saint Kitts And Nevis,300000.0,52329,1427000000.0
Bhutan,260300.0,750125,6432000000.0
Comoros,200000.0,794678,1259000000.0
Vanuatu,200000.0,277554,723000000.0
Samoa,200000.0,198926,1046000000.0
Tonga,200000.0,106513,557000000.0
Turks And Caicos Islands,200000.0,51430,632000000.0
British Virgin Islands,200000.0,34232,500000000.0
Nauru,200000.0,9591,150800000.0
Cook Islands,200000.0,9556,244100000.0
Saint Pierre And Miquelon,200000.0,5595,215300000.0
Sao Tome And Principe,100000.0,197541,694000000.0
Dominica,100000.0,73757,812000000.0
Montserrat,88010.0,5267,43780000.0
Kiribati,58450.0,106925,211000000.0
Falkland Islands (Islas Malvinas),45570.0,2931,281800000.0
"Saint Helena, Ascension, And Tristan Da Cunha",12080.0,7795,31100000.0
Niue,3520.0,1190,10010000.0
"Micronesia, Federated States Of",105.0,104719,314000000.0
