,barycenter_0,barycenter_1,barycenter_2,barycenter_3
2021-05-14,0.703547874092637,-1.352651202275335,0.8566002831373014,-0.9031894472950093
2021-05-17,0.4392358595528064,-0.8781431735135479,1.1853251097170967,-0.37181830952423744
2021-05-18,-0.39368768343529714,-1.5278001445131222,0.40394361786287486,-1.2670426431325246
2021-05-19,0.26422065713137133,-2.3568213694775615,-0.1850938105854059,-1.6419729503612723
2021-05-20,0.991198375268382,-1.968223810850108,0.9123476826080429,-1.1859462481750072
2021-05-21,0.7895306406891747,-1.7520217168990067,0.5989119398210371,-0.7284236822472561
2021-05-24,1.2972604146179694,-1.601584703147946,1.361485023659078,-0.9083357592641672
2021-05-25,1.1764364966770704,-1.7540727889114351,1.2700748568002367,-1.0761696857466712
2021-05-26,1.5649862219021942,-1.9474093189731356,1.0917780920667237,-0.8315198647725854
2021-05-27,1.9604208494308502,-1.8240027426745316,1.6032236202155217,-0.6109289560927352
2021-05-28,1.5368761101252362,-2.1700733095223588,1.4557511400287395,-0.709121305181295
2021-06-01,1.3040897719089188,-1.8104463210695154,1.7011489859734876,-0.5131975659126132
2021-06-02,1.106011864472081,-1.9022998669159696,1.987715873450083,-0.5902605106793175
2021-06-03,0.8110935520278514,-1.681775679160521,1.8239225879607013,-0.47126470468669246
2021-06-04,1.01359050236173,-1.4711890069898328,2.297365570397263,-0.3596179806647235
2021-06-07,1.0628214066951347,-1.5466155302770204,1.9108475130107536,-0.378228642694357
2021-06-08,1.047273077646696,-1.4976068132752687,1.6873827758226743,-0.3746200034447879
2021-06-09,1.0463822938321365,-1.4962087830023039,1.5370497527102154,-0.3744312314556965
2021-06-10,1.0479893361746284,-1.4971401260563593,1.4105311289044224,-0.3722014990809594
2021-06-11,1.0484129869258174,-1.4971401260563593,1.2253999359342493,-0.398933218041268
2021-06-14,1.0484129869258174,-1.4971401260563593,1.3847758055597308,-0.3717666806615086
2021-06-15,1.0484129869258174,-1.4971401260563593,1.3278503555521264,-0.3745503011333308
2021-06-16,1.0484129869258174,-1.4971401260563593,1.3320554977420307,-0.3764405361406503
2021-06-17,1.0484129869258174,-1.4971401260563593,1.3305017056438977,-0.3755869550240852
2021-06-18,1.0484129869258174,-1.4971401260563593,1.3312285662867234,-0.3570347312397637
2021-06-21,1.0484129869258174,-1.4939706322929758,1.330886886814925,-0.2541914525327216
2021-06-22,1.0484129869258174,-1.5218675925920306,1.330886886814925,0.04709767635430429
2021-06-23,1.0484129869258174,-1.4891753006119446,1.330886886814925,-0.3140284497969882
2021-06-24,1.0484129869258174,-1.3461279627959593,1.330886886814925,-0.4104701002166951
2021-06-25,1.0484129869258174,-1.4682465079864737,1.330886886814925,-0.40069679925214113
2021-06-28,1.0484129869258174,-1.5204320243755616,1.330886886814925,-0.40083941016497054
2021-06-29,1.0484129869258174,-1.4953728230554806,1.330886886814925,-0.4020932432400461
2021-06-30,1.0484129869258174,-1.4977543223151593,1.330886886814925,-0.4023004214569828
2021-07-01,1.0484129869258174,-1.4977543223151593,1.330886886814925,-0.3926952394029055
2021-07-02,1.0486412035250463,-1.4977543223151593,1.330886886814925,-0.4383261616023713
2021-07-06,1.0487389249975108,-1.4977543223151593,1.330886886814925,-0.39876506838681697
2021-07-07,1.0487490588524968,-1.4977543223151593,1.330886886814925,-0.40044102471358317
2021-07-08,1.047860005702856,-1.4977543223151593,1.330886886814925,-0.4003164174230728
