,barycenter_0,barycenter_1,barycenter_2,barycenter_3
2021-05-14,-0.07841338566266229,0.16491776942493794,-0.7873384269462834,0.9485580650312481
2021-05-17,-0.648211745496523,1.273844793489142,-0.11716499184867832,0.42287861018516504
2021-05-18,-1.173747347787483,1.1621108372536795,-0.8056188959351641,0.07201036993070792
2021-05-19,-1.7537440850652433,0.8191068668544955,-1.3249065424745354,-0.3537996697893374
2021-05-20,-1.4604265663561595,2.0747124097036944,-1.1024455844713892,0.5359809399965217
2021-05-21,-1.2326285619518473,1.58369235394149,-1.5608022361651706,0.2809490917055767
2021-05-24,-0.9702908682592315,1.2328256726466995,-1.954493240360655,0.7771673681630265
2021-05-25,-0.8114306526667765,1.3402476920174367,-1.239536774246336,1.1588834886613621
2021-05-26,-1.1495690090377513,1.123109852174666,-1.5306889897358555,1.0871367433796337
2021-05-27,-0.8566524479953258,1.1988145102157077,-1.2682126719329962,1.7122743313176718
2021-05-28,-0.9512012428069303,0.9019133326939414,-1.0342383556440307,1.3155743894395375
2021-06-01,-0.706169502208033,0.4637127603019416,-0.7493140064889764,1.0616293843036753
2021-06-02,-0.7724629050860929,1.049071605617933,-0.8480987555586477,0.9461324798233339
2021-06-03,-0.5778667316126892,1.013088825636247,-0.9018008448624302,0.8533949323163758
2021-06-04,-0.2786946877489076,0.8536440981926015,-0.8344295332831785,0.7692302668769337
2021-06-07,-0.5062651671968933,1.1821136567667538,-0.845282986467525,0.543431018054376
2021-06-08,-0.44703300603529317,1.130473283877332,-0.8426326970064759,0.15803361448995906
2021-06-09,-0.5288832476587922,1.293474699304634,-0.8439910359990148,0.6304344751297657
2021-06-10,-0.5876239839227034,1.3807168690231841,-0.8439910359990148,0.8394607797270471
2021-06-11,-0.5300776719097031,1.317043657903023,-0.8439910359990148,1.0290150400576918
2021-06-14,-0.5354078233922289,1.2970770613095628,-0.8439910359990148,0.9879577958915717
2021-06-15,-0.5355915179641859,1.1701018656646145,-0.8439910359990148,0.9927180814307887
2021-06-16,-0.5350838729927253,1.3350654228574652,-0.8439910359990148,0.991854621444777
2021-06-17,-0.5350838729927253,1.4377671634641025,-0.8439910359990148,0.9921001486133828
2021-06-18,-0.5350838729927253,1.501777546132688,-0.8439910359990148,0.9929420976988265
2021-06-21,-0.5350838729927253,1.434859004200957,-0.8439910359990148,0.9929420976988265
2021-06-22,-0.5350838729927253,1.473758616443826,-0.8439910359990148,0.9929420976988265
