,barycenter_0,barycenter_1,barycenter_2,barycenter_3
2021-05-14,-0.5889298396753346,-0.0895387393440225,-1.6659517628203016,0.32906728392837065
2021-05-17,-1.843528551273972,-0.6973487024406596,-1.0147232955811576,0.812717042589748
2021-05-18,-1.019402787819437,0.07963109542375589,-0.5210359071203552,1.3829538071802494
2021-05-19,-1.2085424381122993,1.3325150375164743,-0.024365674157638798,1.196382138981373
2021-05-20,-1.36805143662814,0.6795174014781645,0.560248564315402,1.5791184953298516
2021-05-21,-1.543248234355371,0.41523688627243305,-0.242585059913559,1.513378179588682
2021-05-24,-1.2679015423886992,0.554767194367245,-0.1061048813453143,1.6880063034396595
2021-05-25,-1.4233600279935599,0.8680516866846822,-0.34053040554733405,1.6176260246982364
2021-05-26,-1.732585503645699,0.21525923085923854,-0.4359160033204723,1.8234441799659162
2021-05-27,-1.3413259227606924,-0.2810582780985872,-0.430984407482894,1.676501904763584
2021-05-28,-1.0983214114789008,0.10781728809892244,-0.46440525705106733,2.1122917664933096
2021-06-01,-1.3727741258697808,0.3333171725671614,-0.43335847484594464,1.7667261374171863
2021-06-02,-1.1855075357690332,0.4894909347980686,-0.41348651385953955,1.5312632854198112
2021-06-03,-0.9845189718021465,0.45298313702591636,-0.45720188704927844,1.1530700394263813
2021-06-04,-1.1387592018798967,0.49333277482414845,-0.7007313906726926,1.3619617548429992
2021-06-07,-1.0066221928858676,0.5960904643042074,-0.4676332830295509,1.1770438922376272
2021-06-08,-0.8703538722955794,0.4577347507712791,-0.4203767207740735,0.921220690820701
2021-06-09,-0.9505881580337212,0.24727298035445616,-0.32117979327901525,0.4836993504455894
2021-06-10,-0.8151821867964503,0.4661382012224105,-0.003510300542405409,0.9390644905691651
2021-06-11,-0.6482745226952055,0.6776639661044765,-0.39861854130018964,1.1274504377929444
2021-06-14,-0.7251630360339448,0.5730997403352488,-0.5609800545084225,1.3389473372774021
2021-06-15,-0.8047191170847007,0.6046300655065421,-0.776693058128652,1.2307559825550087
2021-06-16,-0.7229144294973658,0.6034582438122692,-1.1029968693991066,1.3822141786535946
2021-06-17,-0.737919883499433,0.6034582438122692,-0.710338160206965,1.5384372813521552
2021-06-18,-0.7330072096439669,0.6034582438122692,-0.6132479216655912,1.485283698893527
2021-06-21,-0.7338619480282316,0.6034582438122692,-0.49461362138785975,1.4952391998623193
2021-06-22,-0.7336909932132116,0.6034582438122692,-0.6494642013358596,1.4937191457392427
2021-06-23,-0.7336909932132116,0.6034582438122692,-0.9608969483320243,1.4944754297841898
2021-06-24,-0.7336909932132116,0.6034582438122692,-1.5433871219874047,1.4943583174488753
2021-06-25,-0.7336909932132116,0.6034582438122692,-1.0233807434252795,1.4943583174488753
2021-06-28,-0.7336909932132116,0.6034582438122692,-0.6402237311016177,1.4943583174488753
2021-06-29,-0.7336909932132116,0.6034582438122692,-0.8291189648677192,1.4943583174488753
2021-06-30,-0.7336909932132116,0.6034582438122692,-0.6089685998698582,1.4943583174488753
2021-07-01,-0.7336909932132116,0.6034582438122692,-0.47889822794507614,1.4943583174488753
2021-07-02,-0.7336909932132116,0.6034582438122692,-0.3457789881929385,1.4943583174488753
2021-07-06,-0.7336909932132116,0.6034582438122692,-0.4319098382917657,1.4943583174488753
2021-07-07,-0.7336909932132116,0.6034582438122692,-0.4595367380419515,1.4943583174488753
2021-07-08,-0.7336909932132116,0.6034582438122692,-0.4273236355852882,1.4943583174488753
2021-07-09,-0.7336909932132116,0.6034582438122692,-0.43343937090800344,1.4952463618911782
2021-07-12,-0.7336909932132116,0.6034582438122692,-0.5670297242456364,1.4948041055683878
2021-07-13,-0.7336909932132116,0.6034582438122692,-0.41424172365782536,1.461449483461521
2021-07-14,-0.7336909932132116,0.6034582438122692,-0.3136928090437945,1.4966546278932293
2021-07-15,-0.7336909932132116,0.6034582438122692,-0.2922965416899331,1.4959574672595286
2021-07-16,-0.7336909932132116,0.6034582438122692,-0.31742175283396473,1.4959574672595286
2021-07-19,-0.7336909932132116,0.6034582438122692,-0.3120557148288657,1.4959574672595286
2021-07-20,-0.7336909932132116,0.6034582438122692,-0.34010393076064155,1.4959574672595286
2021-07-21,-0.7336909932132116,0.6034582438122692,-0.2999933264791089,1.4959574672595286
2021-07-22,-0.7336909932132116,0.6034582438122692,-0.30631351997800943,1.4959574672595286
2021-07-23,-0.7336909932132116,0.6034582438122692,-0.1933039096408781,1.4959574672595286
2021-07-26,-0.7336909932132116,0.6034582438122692,-0.2044947787064841,1.4959574672595286
2021-07-27,-0.7336909932132116,0.6034582438122692,-0.2046965162305391,1.4959574672595286
2021-07-28,-0.7336909932132116,0.6034582438122692,-0.20434473556306415,1.4959574672595286
2021-07-29,-0.7336909932132116,0.6034582438122692,-0.20959084577419188,1.4961108385929027
2021-07-30,-0.7336909932132116,0.6034582438122692,-0.20508759176403304,1.4918510627054116
2021-08-02,-0.7336909932132116,0.6034582438122692,-0.20469550021890218,1.5439103339692524
2021-08-03,-0.7336909932132116,0.6034582438122692,-0.1472851707816833,1.715603093798869
2021-08-04,-0.7336909932132116,0.6034582438122692,-0.21966723785809983,1.5571186988727734
2021-08-05,-0.7336909932132116,0.6034582438122692,-0.20621737273022922,1.5070954776092367
2021-08-06,-0.7336909932132116,0.6034582438122692,-0.20768503306638342,1.505278737325701
2021-08-09,-0.7336909932132116,0.6034582438122692,-0.20768503306638342,1.5091952036052385
2021-08-10,-0.7336909932132116,0.6034582438122692,-0.20768503306638342,1.509412162590824
2021-08-11,-0.7336909932132116,0.6034582438122692,-0.20768503306638342,1.5093052534696152
2021-08-12,-0.7336909932132116,0.6034582438122692,-0.20768503306638342,1.5093052534696152
2021-08-13,-0.7336909932132116,0.6034582438122692,-0.20768503306638342,1.5093052534696152
2021-08-16,-0.7336909932132116,0.6034582438122692,-0.2076992949272131,1.5093052534696152
2021-08-17,-0.7336909932132116,0.6034582438122692,-0.20749857608711686,1.5093052534696152
2021-08-18,-0.7336909932132116,0.6034582438122692,-0.24428984472067186,1.5093052534696152
2021-08-19,-0.7336909932132116,0.6034582438122692,-0.12161517059854253,1.5093052534696152
2021-08-20,-0.7336909932132116,0.6034582438122692,0.011760394498274906,1.5093052534696152
2021-08-23,-0.7336909932132116,0.6034582438122692,-0.03384772929552749,1.5093052534696152
