,barycenter_0,barycenter_1,barycenter_2,barycenter_3
2022-08-03,-0.5705410182221279,-0.3487492982382864,0.7822817949606065,-1.2104478074521097
2022-08-04,-0.5700047790484999,-0.3567010671940574,0.7776371712290565,-1.2167550374490752
2022-08-05,-0.5692431989134747,-0.36440364447395074,0.7732215945377655,-1.2227031053597706
2022-08-08,-0.5682527929753498,-0.37185591081114816,0.7690465597312526,-1.2282903388056372
2022-08-09,-0.5670310123911412,-0.37905783569822593,0.7651220978791251,-1.233516600222936
2022-08-10,-0.5655761915999198,-0.3860103703230623,0.7614568080727028,-1.2383831671758663
2022-08-11,-0.56388753132901,-0.3927153745547507,0.7580577804142213,-1.2428925983524435
2022-08-12,-0.5619650993499908,-0.39917553576074777,0.754930594975862,-1.2470486078022913
2022-08-15,-0.5598098409449868,-0.4053942716827712,0.7520792709416106,-1.2508559415235674
2022-08-16,-0.5574235764698555,-0.411375749321119,0.74950620659031,-1.2543203860597176
2022-08-17,-0.554808842944677,-0.4171247488417191,0.747212402834494,-1.2574485448691832
2022-08-18,-0.5519688798374636,-0.4226466583162327,0.7451974660096623,-1.2602478191696018
2022-08-19,-0.548907504158227,-0.4279473087067416,0.7434597338011459,-1.262726216205629
2022-08-22,-0.5456289740553171,-0.4330327950895199,0.7419964466280206,-1.2648921073611539
2022-08-23,-0.5421379464809342,-0.43790938515689126,0.7408037312057857,-1.2667540837344227
2022-08-24,-0.5384394596103914,-0.44258342378055443,0.7398765605521757,-1.2683208540834803
2022-08-25,-0.5345389613248974,-0.44706134575522777,0.7392086633689312,-1.269601271068334
2022-08-26,-0.5304424430836215,-0.4513498054721778,0.7387921943855916,-1.2706044655948416
2022-08-29,-0.5261564066460582,-0.45545564325114374,0.7386177814859839,-1.2713398116906094
2022-08-30,-0.5216876925508468,-0.4593856618022802,0.7386747987346853,-1.2718166411909215
2022-08-31,-0.5170434631932637,-0.4631465908834896,0.7389514812600816,-1.2720442475612666
2022-09-01,-0.5122311690468078,-0.4667451458454058,0.7394351552033764,-1.2720319865095622
2022-09-02,-0.5072584062467027,-0.4701879503099663,0.7401125883514492,-1.271789209014366
2022-09-06,-0.5021328066348677,-0.47348148145320534,0.7409701855072364,-1.2713252002591073
2022-09-07,-0.49686212444473743,-0.4766321224812951,0.7419939482581528,-1.2706492513696601
2022-09-08,-0.4914543528182482,-0.4796463052520471,0.7431693321477921,-1.2697708080140682
2022-09-09,-0.48591761546502593,-0.48253038705102513,0.7444814120721508,-1.268699282396516
2022-09-12,-0.48026005671249544,-0.4852905259908185,0.7459151486084281,-1.2674438938627193
2022-09-13,-0.47448981246533295,-0.487932573160422,0.7474555389747117,-1.266013561120963
2022-09-14,-0.46861494222486616,-0.490462043377808,0.7490876991877735,-1.2644168500353083
2022-09-15,-0.46264325325575545,-0.49288401763633016,0.7507971875628863,-1.2626618494631097
2022-09-16,-0.4565822606808795,-0.49520312523887206,0.7525699864228033,-1.2607561465285422
2022-09-19,-0.450439277882626,-0.49742366820852957,0.7543922918767485,-1.2587069666017636
2022-09-20,-0.44422143527834657,-0.49954972604516085,0.7562504410268232,-1.2565212694157888
