,barycenter_barycenter_0,barycenter_barycenter_1,barycenter_barycenter_2,barycenter_barycenter_3
2021-05-14,-0.9730313771755643,0.9395664818170769,-0.40716882126756065,0.22546688506750615
2021-05-17,-0.9755254719811153,0.9256995210090381,-0.44908007952763906,0.20929680153542668
2021-05-18,-1.0342937869931574,0.8777197054626142,-0.49213947153680837,0.1278435383087999
2021-05-19,-1.0722975138095774,0.8459044894456618,-0.5328371293047801,0.09765938785547347
2021-05-20,-1.0361824779359396,0.9046410666187586,-0.4559832570859846,0.1627071341710965
2021-05-21,-1.0293604061027566,0.9175394214987677,-0.42489075800826565,0.16955188342937338
2021-05-24,-1.0054701254142198,0.9705876536311586,-0.4129380476145634,0.24955038250735975
2021-05-25,-1.0445787897123155,0.9493315289022248,-0.48742154544048183,0.24360368590553258
2021-05-26,-1.0321341443737948,0.9757033921322613,-0.48086520747444883,0.2778645275133179
2021-05-27,-1.015261719887555,1.01682154999124,-0.4889528212009268,0.3384257851486734
2021-05-28,-1.0065782955147022,1.026021865413313,-0.4787134820284627,0.34781519106670883
2021-06-01,-0.986537092261914,1.0296352251776164,-0.5023068674028117,0.375382101504214
2021-06-02,-0.9804137227820904,1.0412785626844339,-0.4722450545637293,0.36153749692438386
2021-06-03,-0.9811412081696839,1.0214534023168136,-0.4362929136117097,0.32717816399952726
2021-06-04,-0.9529542253574035,1.0546005343605735,-0.4260583424027368,0.38661414830522023
2021-06-07,-0.9789504703059134,1.0654620152879881,-0.43344348643343267,0.34860541712598037
2021-06-08,-0.9638203560505408,1.0716707514784156,-0.4900680476924208,0.370348691208067
2021-06-09,-0.994216316372544,1.0463022653639211,-0.48515355110948644,0.33255832862603324
2021-06-10,-0.9876798002112048,1.0644915134634225,-0.4476201606177254,0.34105068195699545
2021-06-11,-0.9725514750779422,1.0863887245956172,-0.42416300323029166,0.3844813526862118
2021-06-14,-0.9974344129597719,1.0647355661004345,-0.4670067423060062,0.35576580373645966
2021-06-15,-0.9874930720076156,1.0563989848675561,-0.4619180045888067,0.3512189204189367
2021-06-16,-1.0445135672780848,1.024531561930893,-0.5658253596551935,0.29187997398512583
2021-06-17,-1.1103467055164273,0.9606593677510521,-0.5990312222493133,0.21321425927618884
2021-06-18,-1.2238589702651022,0.8622259462376547,-0.7862727188672649,0.083132693258804
2021-06-21,-1.106860494844428,0.9882938522100313,-0.6420414460166249,0.23745402249724798
2021-06-22,-1.10157856207824,1.0013450193518487,-0.6707223528090168,0.25633990683065144
2021-06-23,-1.120392211762092,1.004139102558991,-0.7277863520667676,0.23468088675720056
2021-06-24,-1.081628130986291,1.0373759655970576,-0.7042833051422431,0.2830703931960625
2021-06-25,-1.0374558532086362,1.0853662253487029,-0.6166349987016253,0.32917664319210277
2021-06-28,-1.0717377165492619,1.0618109415457428,-0.6134741868762621,0.30643825601416175
2021-06-29,-1.081904353436059,1.059741829749036,-0.681636875554199,0.31289937522269473
2021-06-30,-1.059135977405981,1.0535716482550228,-0.6763498868593601,0.3316991439382653
2021-07-01,-1.0131936372697732,1.100349393818881,-0.600842543139933,0.37169277168695397
2021-07-02,-0.9974454584928251,1.11863779786951,-0.5859017479708628,0.40133304828222266
2021-07-06,-1.0487139976053814,1.0708463681607412,-0.6173111095916077,0.34214196597356245
2021-07-07,-1.0234907542303828,1.0802157230863974,-0.5655133817689467,0.38759202149726285
2021-07-08,-1.0828892982073846,1.0150563272011774,-0.6220713364340342,0.27887829986068113
2021-07-09,-0.9978174512527279,1.1365962651384356,-0.5399620553713911,0.4157583808133721
2021-07-12,-0.9949834838156926,1.1648254365415456,-0.5324535923286923,0.4476719150034298
2021-07-13,-1.0362338070646027,1.0911023357687266,-0.6277970976447214,0.38068433644348876
2021-07-14,-1.0358793218271987,1.0857094206253992,-0.6020121272438729,0.3855382548287345
2021-07-15,-1.0335608617172078,1.0640056619196614,-0.5513367879969461,0.3648207888589004
2021-07-16,-1.0687717782320647,1.0134272538031461,-0.532035496270745,0.29272051060002247
2021-07-19,-1.1880452983758634,0.8890521578350488,-0.6577353297926544,0.1314873107255591
2021-07-20,-1.0886493654534097,1.0243270624427459,-0.5623954869248581,0.3085600850874319
2021-07-21,-1.036095104791351,1.095305657093101,-0.5942253775573869,0.4002981959935413
2021-07-22,-1.0569197132861008,1.0721324738676181,-0.6026050942928672,0.39033852838591127
2021-07-23,-1.0076258857245126,1.1269563430083422,-0.5084970671642022,0.46832450552448307
2021-07-26,-0.998003552046209,1.1554980265358863,-0.5042696810825403,0.4881940097763962
2021-07-27,-0.9908246672740083,1.1393472874754385,-0.43066560736412707,0.4519894861282978
2021-07-28,-1.007650830215352,1.142754670530737,-0.4877231144030091,0.46224888845945317
2021-07-29,-0.9610897338042125,1.20308767148763,-0.44252324305707835,0.5295708368313053
2021-07-30,-0.9783176965156395,1.1692120751084802,-0.4807918023353474,0.5474328530560527
2021-08-02,-0.9929399544140712,1.1519038241992208,-0.46152990426485263,0.5373046221341193
2021-08-03,-0.9434418087578186,1.195799318630528,-0.38422969918535127,0.5781054091355117
2021-08-04,-1.0108567091758147,1.1510875682792299,-0.49390892235438794,0.5228942372576219
2021-08-05,-0.9841124642628503,1.2163324549929941,-0.4473078932717741,0.5810865208584216
2021-08-06,-0.9574926228933327,1.241540113475079,-0.42067458410708697,0.6169075239046886
2021-08-09,-0.9696798567844851,1.2386627267400812,-0.4146905813295624,0.5751382689870804
2021-08-10,-0.9328421635721748,1.2478865363589953,-0.3682328158043508,0.5987797189245726
