,barycenter_0,barycenter_1,barycenter_2
2020-01-02,0.31055496357254486,-0.6720482291409472,-1.4263956965467908
2020-01-03,-0.4661242758105471,0.5322814596603248,-0.6498921811173443
2020-01-06,-0.912611125550504,2.194078106287234,-1.0042716137200254
2020-01-07,-1.750353930055866,0.9653793080796285,-1.1267253078733621
2020-01-08,-1.4730278827809016,-0.07554057778800481,-0.8515900323384803
2020-01-09,-1.3495037020409686,0.19972053157501096,-0.09217326509011253
2020-01-10,-1.2967018661341176,-0.261910544183888,-0.9867337147322122
2020-01-13,-1.358711642774092,-0.46575986955429616,-1.3548212840345604
2020-01-14,-1.3347525234785613,-0.7132399078968017,-1.9914677716070524
2020-01-15,-1.215456544554882,-0.4503757054444957,-1.6814030587975932
2020-01-16,-0.9924966558472118,-0.5193637439020979,-1.5694782803007683
2020-01-17,-1.272622200115385,-0.5121023696727629,-1.59627739335264
2020-01-21,-1.3752436216617685,-0.5121023696727629,-1.5919832951441948
2020-01-22,-1.4161667461972554,-0.5121023696727629,-1.593143812198835
2020-01-23,-1.276355013373182,-0.5121023696727629,-1.592701780729035
2020-01-24,-1.5914880812950687,-0.5121023696727629,-1.592701780729035
2020-01-27,-1.5632186851947734,-0.5121023696727629,-1.592701780729035
2020-01-28,-1.665363311147814,-0.5121023696727629,-1.592701780729035
2020-01-29,-1.576553721126458,-0.5121023696727629,-1.592701780729035
2020-01-30,-1.588010525610746,-0.5121023696727629,-1.592701780729035
2020-01-31,-1.5845513065496064,-0.5121023696727629,-1.592701780729035
2020-02-03,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-02-04,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-02-05,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-02-06,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-02-07,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-02-10,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-02-11,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-02-12,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-02-13,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-02-14,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-02-18,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-02-19,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-02-20,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-02-21,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-02-24,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-02-25,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-02-26,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-02-27,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-02-28,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-03-02,-1.5853004862632525,-0.5121023696727629,-1.592701780729035
2020-03-03,-1.5853004862632525,-0.5121023696727629,-1.5926635758839611
2020-03-04,-1.5853004862632525,-0.5121023696727629,-1.593564849536969
2020-03-05,-1.5857572850603774,-0.5121023696727629,-1.5935258507481724
2020-03-06,-1.5822454559203465,-0.5121023696727629,-1.5921203488969764
2020-03-09,-1.5887011779919733,-0.5099505276248104,-1.5942239703728422
2020-03-10,-1.4855176886271266,-0.5325066435463831,-1.5340088621395322
2020-03-11,-1.654328233954652,-0.25509744571758775,-1.591630424730151
2020-03-12,-1.8843566580688214,-0.5079142224744471,-1.5932397108287986
2020-03-13,-1.7736990425698358,-0.4705219999837508,-1.5868117018417334
2020-03-16,-2.0420248092464512,-0.7852978023914994,-1.6685564459351812
2020-03-17,-2.3086439293563314,-0.6535496043805543,-1.6232454292545102
2020-03-18,-2.864572549329442,-0.8808295882063122,-1.8443169314421775
2020-03-19,-2.3881631654736855,-1.3474601042107026,-1.7716721061271077
2020-03-20,-2.1457576169726607,-1.137960755059841,-2.0726121571287384
2020-03-23,-1.9777162116272955,-2.1826915995810308,-2.5539893621468437
2020-03-24,-1.833843997503195,-1.1865051733874874,-2.1712273177144383
2020-03-25,-1.6940038856245192,-1.7077524724032058,-1.995218595649745
2020-03-26,-1.7443253896817552,-1.2765133834553328,-1.755867333901727
2020-03-27,-1.5689677193265046,-0.9413279868829579,-1.9043481057599423
2020-03-30,-1.7654452366482003,-0.6036011252255538,-1.68665802508204
2020-03-31,-1.719715866226884,-0.8833112090449106,-1.762201875446017
2020-04-01,-1.7493365284211717,-1.2365443149301691,-1.6239882416540872
2020-04-02,-1.8460995053802085,-0.9302719082761802,-1.5189354777488597
2020-04-03,-2.050443479307004,-0.7603673143669839,-1.5345889720325332
2020-04-06,-1.8345603667231898,-0.51303537314082,-1.5473377840135665
2020-04-07,-1.675818570309044,-0.6385493317738025,-1.5357787078172551
2020-04-08,-1.7211126549978086,-0.4125327484490516,-1.507514061025216
2020-04-09,-1.5181700814401646,-0.2723465178524428,-1.3747753414837858
2020-04-13,-1.6025739911270542,-0.19308524206644445,-1.5788731291026101
2020-04-14,-1.5934412328661305,-0.31462350671075157,-1.520569620460792
2020-04-15,-1.5982610214323827,-0.2950592564226707,-1.5450471350929542
2020-04-16,-1.5976596770140568,-0.29616260408196543,-1.5384451435323354
2020-04-17,-1.5972520285579281,-0.29616260408196543,-1.538799288958996
2020-04-20,-1.5972520285579281,-0.29616260408196543,-1.5386376143669953
2020-04-21,-1.5972520285579281,-0.29616260408196543,-1.5386376143669953
2020-04-22,-1.5972520285579281,-0.29616260408196543,-1.5386376143669953
2020-04-23,-1.5972520285579281,-0.29616260408196543,-1.5386376143669953
2020-04-24,-1.5972520285579281,-0.29616260408196543,-1.5386376143669953
2020-04-27,-1.5972520285579281,-0.29616260408196543,-1.5386376143669953
2020-04-28,-1.5972520285579281,-0.29616260408196543,-1.5386376143669953
2020-04-29,-1.5972520285579281,-0.29616260408196543,-1.5386376143669953
2020-04-30,-1.5972520285579281,-0.29616260408196543,-1.5386376143669953
2020-05-01,-1.5972520285579281,-0.29616260408196543,-1.5386376143669953
2020-05-04,-1.5972520285579281,-0.29616260408196543,-1.5386376143669953
2020-05-05,-1.5972520285579281,-0.29616260408196543,-1.5386376143669953
2020-05-06,-1.5972520285579281,-0.29616260408196543,-1.5386376143669953
2020-05-07,-1.5972520285579281,-0.29616260408196543,-1.5386154110748969
2020-05-08,-1.5972520285579281,-0.29616260408196543,-1.540404965369861
2020-05-11,-1.5972520285579281,-0.29616260408196543,-1.5126302198700945
2020-05-12,-1.5972520285579281,-0.29616260408196543,-1.6126808637026617
2020-05-13,-1.5972520285579281,-0.29616260408196543,-1.7850345079375256
2020-05-14,-1.5972520285579281,-0.29616260408196543,-1.5705602632677333
2020-05-15,-1.5972520285579281,-0.29616260408196543,-1.6370370641357108
2020-05-18,-1.5972520285579281,-0.29616260408196543,-1.5026444442073874
2020-05-19,-1.5971365081669475,-0.29616260408196543,-1.3619389719711874
2020-05-20,-1.599516680566442,-0.29616260408196543,-1.4247812572889238
2020-05-21,-1.583929636022523,-0.29616260408196543,-1.4171900342963488
2020-05-22,-1.6638848451131345,-0.29616260408196543,-1.4182366145084588
2020-05-26,-1.5222317191695733,-0.29616260408196543,-1.4183403425154457
2020-05-27,-1.5089156424503796,-0.29616260408196543,-1.4181582734276188
2020-05-28,-1.523008041606054,-0.29616260408196543,-1.4181645776459548
2020-05-29,-1.5212633249004808,-0.29616260408196543,-1.4187205418291469
2020-06-01,-1.521567189954498,-0.29616260408196543,-1.415200231128572
2020-06-02,-1.5406268932243707,-0.29616260408196543,-1.45397708654102
2020-06-03,-1.4195797019994505,-0.2957380857707671,-1.4111830237827483
2020-06-04,-1.447509939005208,-0.30159040859338804,-1.3510676418203633
2020-06-05,-1.3121191712340134,-0.28362949197480153,-1.2295342009770127
2020-06-08,-1.0552059977266026,-0.0832669347377117,-1.3598944021506785
2020-06-09,-1.2827309116454788,-0.30319382795712807,-1.444379645951954
2020-06-10,-1.391644558881915,-0.29347988713000456,-1.538315273760997
2020-06-11,-1.5795041058309378,-0.29023702994291306,-1.662067906041141
2020-06-12,-1.4960160668468847,-0.294392381102648,-1.4841282794591917
2020-06-15,-1.4122164030675448,-0.2940573723131066,-1.3875440278980198
2020-06-16,-1.5010796103437816,-0.2940573723131066,-1.2696541911408563
2020-06-17,-1.4959007875336827,-0.2940573723131066,-1.3274871643061414
2020-06-18,-1.4963056334998157,-0.2940573723131066,-1.3131482223965467
2020-06-19,-1.4966802329192421,-0.2940573723131066,-1.316174479983653
2020-06-22,-1.4988284622685542,-0.2939967841568394,-1.315813342537916
2020-06-23,-1.4851979833444646,-0.2998485394953598,-1.3158280428566285
2020-06-24,-1.539522940724296,-0.21346737072676703,-1.315826135730768
2020-06-25,-1.6398744007892432,-0.4828552146397736,-1.315826135730768
2020-06-26,-1.8644877551091166,-0.8588290428350023,-1.315826135730768
2020-06-29,-1.655074924903765,-0.4101089327711735,-1.315826135730768
2020-06-30,-1.5271434030160593,-0.500031744056348,-1.315826135730768
2020-07-01,-1.4045209634970737,-0.2928994652877902,-1.315826135730768
2020-07-02,-1.5108983820788018,-0.3164226734104489,-1.315826135730768
2020-07-06,-1.5251369983834557,-0.18183574137332742,-1.315826135730768
2020-07-07,-1.5144443246160035,-0.2387147189032342,-1.315826135730768
2020-07-08,-1.5146992747560295,-0.2320075908914218,-1.315826135730768
2020-07-09,-1.5146992747560295,-0.23297477034582553,-1.315826135730768
2020-07-10,-1.5146992747560295,-0.23286558467283722,-1.315826135730768
2020-07-13,-1.5146992747560295,-0.23286558467283722,-1.315826135730768
2020-07-14,-1.5146992747560295,-0.23286558467283722,-1.315826135730768
2020-07-15,-1.5146992747560295,-0.23286558467283722,-1.315826135730768
2020-07-16,-1.5146992747560295,-0.23286558467283722,-1.315826135730768
2020-07-17,-1.5146992747560295,-0.23286558467283722,-1.315826135730768
2020-07-20,-1.5146992747560295,-0.23286558467283722,-1.315826135730768
2020-07-21,-1.5146992747560295,-0.23286558467283722,-1.315826135730768
2020-07-22,-1.5144875875655683,-0.23228111154065179,-1.315826135730768
2020-07-23,-1.5144597644915847,-0.2337908382931777,-1.315826135730768
2020-07-24,-1.5144696428916498,-0.22883797301282977,-1.315826135730768
2020-07-27,-1.51490092959394,-0.26129790491070537,-1.315826135730768
2020-07-28,-1.5023410030197326,-0.20100996622359588,-1.315826135730768
2020-07-29,-1.5503173502129515,-0.20643014674638094,-1.315826135730768
2020-07-30,-1.7078162569900726,-0.20694173833987647,-1.315826135730768
2020-07-31,-1.5350722090447508,-0.20564349373216614,-1.315826135730768
2020-08-03,-1.4679523383628363,-0.20703549991486003,-1.315826135730768
2020-08-04,-1.495716093757482,-0.18853707715495466,-1.315826135730768
2020-08-05,-1.497208886652589,-0.20015302922087125,-1.315826135730768
2020-08-06,-1.4969609808054931,-0.2177897756344449,-1.315826135730768
2020-08-07,-1.4969709347255171,-0.024494491822190226,-1.315826135730768
2020-08-10,-1.4974670346400236,0.30537790546896487,-1.315826135730768
2020-08-11,-1.4972042074963214,-0.023651073985572906,-1.315826135730768
2020-08-12,-1.4970619669718879,0.0128469989735683,-1.315826135730768
2020-08-13,-1.4972322273948002,-0.12748561394956565,-1.315826135730768
2020-08-14,-1.4964082862735162,-0.04186451137384688,-1.315826135730768
2020-08-17,-1.4956065089528798,-0.04014344900282095,-1.315826135730768
2020-08-18,-1.5245560498153714,-0.04080920234708286,-1.315826135730768
2020-08-19,-1.499055268046542,-0.040806431713502844,-1.315826135730768
2020-08-20,-1.5053597270816912,-0.04134108719898256,-1.315826135730768
2020-08-21,-1.393564275775325,-0.04134108719898256,-1.315826135730768
2020-08-24,-1.2756767450512774,-0.04134108719898256,-1.315826135730768
2020-08-25,-1.322917411466678,-0.04134108719898256,-1.315826135730768
2020-08-26,-1.3686500114212328,-0.04134108719898256,-1.315826135730768
2020-08-27,-1.2162473352083722,-0.04134108719898256,-1.315826135730768
2020-08-28,-1.0620407193221633,-0.04134108719898256,-1.315826135730768
2020-08-31,-1.1317634215295282,-0.041315865540289154,-1.315826135730768
2020-09-01,-1.1451668544095945,-0.04407082425147663,-1.315826135730768
2020-09-02,-1.1423358769727072,0.12412981676576874,-1.315826135730768
2020-09-03,-1.2599324750072172,-0.05004502873735127,-1.315826135730768
2020-09-04,-1.1567737440993024,-0.03771370518900452,-1.315826135730768
2020-09-08,-1.0722809677981922,-0.038864423528198515,-1.315604685924863
2020-09-09,-1.083384684652345,-0.03770055469137666,-1.3157579974373976
2020-09-10,-1.0766827164580384,-0.037836841370982276,-1.3157371771813984
2020-09-11,-1.089505490051321,-0.03792892319429624,-1.315761782532635
2020-09-14,-1.031436178573535,-0.03792892319429624,-1.315790174153948
2020-09-15,-0.936767876190632,-0.03792892319429624,-1.3157579974373976
2020-09-16,-0.7340879984965598,-0.03792892319429624,-1.3157272029242177
2020-09-17,-0.9402533588802944,-0.03792892319429624,-1.3170249749809888
2020-09-18,-1.0567282017532404,-0.03792892319429624,-1.3000271275687922
2020-09-21,-1.1108530662044436,-0.03654975841370658,-1.3332387437949542
2020-09-22,-1.0752451708719784,-0.06974343340151393,-1.321333471717561
2020-09-23,-1.077149583860125,-0.30907452058548873,-1.4187980072329802
2020-09-24,-1.0770458212726566,-0.0654508415878603,-1.3256061262582244
2020-09-25,-1.0770408321027207,-0.036606339966274055,-1.256607498249326
2020-09-28,-1.0771066437607282,-0.04134139359041109,-1.1868209288189628
2020-09-29,-1.0769790124198892,-0.04134139359041109,-1.205065915598688
2020-09-30,-1.0773589132600587,-0.04134139359041109,-1.1129387197450151
2020-10-01,-1.0773589132600587,-0.04134139359041109,-1.279932545937271
2020-10-02,-1.0773589132600587,-0.04134139359041109,-1.201169329821837
2020-10-05,-1.0773589132600587,-0.04134139359041109,-1.1434752367390704
2020-10-06,-1.0773589132600587,-0.04134139359041109,-1.0721768917906593
2020-10-07,-1.0773589132600587,-0.04134139359041109,-0.9844953067223423
2020-10-08,-1.0773589132600587,-0.04134139359041109,-0.7839976872310477
2020-10-09,-1.0773589132600587,-0.04134139359041109,-0.9727060993702223
2020-10-12,-1.0773589132600587,-0.04134139359041109,-1.0535807574770701
2020-10-13,-1.0773589132600587,-0.04134139359041109,-1.1109540999512586
2020-10-14,-1.0773589132600587,-0.04134139359041109,-1.0935395800065941
2020-10-15,-1.0773589132600587,-0.04134139359041109,-1.0975190551965175
2020-10-16,-1.0773589132600587,-0.04134139359041109,-1.0926180771984837
