,barycenter_barycenter_0,barycenter_barycenter_1,barycenter_barycenter_2
2020-01-02,-0.8962145523248466,0.13924274448339366,-0.9842389247894601
2020-01-03,-0.9059455436428047,0.10213114711928087,-1.003454960205812
2020-01-06,-0.9018458204686968,0.10523344684510778,-0.9991742662532643
2020-01-07,-0.907011823574005,0.09663562415938691,-1.0094521261741132
2020-01-08,-0.8973529964622288,0.11968524602352004,-0.9924070992807209
2020-01-09,-0.873858834856345,0.14236300394714363,-0.9661801964147095
2020-01-10,-0.8845402382052091,0.13893577375197552,-0.9753575522586648
2020-01-13,-0.865502897436313,0.18606897725178234,-0.9372173945718608
2020-01-14,-0.8633321386027475,0.19291546172500526,-0.9345951293806944
2020-01-15,-0.8430279864636967,0.20020460180371064,-0.9150755767429564
2020-01-16,-0.8122499937389854,0.24986971508453615,-0.8680058318721536
2020-01-17,-0.8003080346624185,0.2668088790923683,-0.8506411194485812
2020-01-21,-0.8119484848771946,0.24632258680502087,-0.8582932962285849
2020-01-22,-0.8118492677709296,0.2501226628594985,-0.8607202185370045
2020-01-23,-0.7953786118291692,0.26855020303375293,-0.8473229954152522
2020-01-24,-0.8283698022841733,0.21940528779968044,-0.8915721209151207
2020-01-27,-0.878764382977556,0.13876831969947626,-0.9488818617513823
2020-01-28,-0.842849700194363,0.18118324209073028,-0.9142108147114227
2020-01-29,-0.8492108156908312,0.1617010487653881,-0.9247315819319414
2020-01-30,-0.8302177330543424,0.16720074892603604,-0.9081360888758259
2020-01-31,-0.8978166852220986,0.0786387763535674,-0.9859938014554787
2020-02-03,-0.8645822867949042,0.1111921725942797,-0.9540187390566304
2020-02-04,-0.8271168265968003,0.20413617016341373,-0.9005441535322968
2020-02-05,-0.7717182017723702,0.24303602215671577,-0.8462399309176347
2020-02-06,-0.785235080920485,0.24960095174101565,-0.8475669063899567
2020-02-07,-0.8020858926597981,0.18791972239934937,-0.8720058095051612
2020-02-10,-0.7772110818165798,0.22097047886995125,-0.8430652495397419
2020-02-11,-0.7564479083349253,0.25874904200746807,-0.8230117684242789
2020-02-12,-0.7451147565956918,0.3052627410688705,-0.7976945319823701
2020-02-13,-0.7407833178662133,0.301406540437264,-0.7944390199831273
2020-02-14,-0.7355640073901282,0.31849357723702204,-0.7771146772627183
2020-02-18,-0.7458975320031318,0.3027468059788251,-0.7842850990371767
2020-02-19,-0.7371556227104344,0.32062440351988086,-0.783491596637219
2020-02-20,-0.7426029231187292,0.30698407326288213,-0.7796840174278459
2020-02-21,-0.7606438621448074,0.2470946360825895,-0.8153364888718486
2020-02-24,-0.8728744917778768,0.09027377837763773,-0.9478035809108407
2020-02-25,-0.9989103091556594,-0.07649167776156757,-1.1017932406228015
2020-02-26,-1.0365610609008915,-0.12420881940650945,-1.1376923141644384
2020-02-27,-1.1909571677581574,-0.31955626214814425,-1.3303752980389993
2020-02-28,-1.2532539122202033,-0.38452025218269875,-1.4193690221484272
2020-03-02,-1.0964109053551516,-0.1931194581306334,-1.2207202973204048
2020-03-03,-1.180586699641241,-0.31350504058540235,-1.317792095849391
2020-03-04,-1.0125281296680353,-0.12730799900675988,-1.124565525637704
2020-03-05,-1.1303834417113852,-0.30878618874754393,-1.2785188960438456
2020-03-06,-1.1914495407074217,-0.38357645077602043,-1.359086833552538
2020-03-09,-1.487981814618597,-0.7280190595325688,-1.7046770615675397
2020-03-10,-1.348548840746223,-0.5283534603598405,-1.5244740590444372
2020-03-11,-1.5347853289144717,-0.7691381123346323,-1.7540038117302872
2020-03-12,-1.8765780951709607,-1.2051718040931059,-2.13884338805334
2020-03-13,-1.653591705713105,-0.8780449649467431,-1.8479567099682181
2020-03-16,-2.023191157237796,-1.3381290158271641,-2.3789006325596063
2020-03-17,-1.830853153200441,-1.1192544964934519,-2.147252330223481
2020-03-18,-2.034017446126451,-1.3539737911896814,-2.415443453615633
2020-03-19,-2.036832075159612,-1.3708907079561252,-2.4072888276254747
2020-03-20,-2.175440917846565,-1.5120515670848338,-2.6030879180682587
2020-03-23,-2.299002323815385,-1.599645733000558,-2.7409296906245793
2020-03-24,-2.0371401725638867,-1.2830285487307507,-2.402480088290073
2020-03-25,-1.9670802291082516,-1.2072826752497785,-2.2965285434060227
2020-03-26,-1.77609627754189,-0.9675075581780631,-2.0486303813775053
2020-03-27,-1.8566497062644653,-1.1123732572589613,-2.133648941329446
2020-03-30,-1.757375299318533,-1.0091698861896354,-2.0210917620647533
2020-03-31,-1.8154565824112918,-1.0890806625564275,-2.1051382147296445
2020-04-01,-1.954361917285081,-1.288267184063739,-2.302378993292605
2020-04-02,-1.8970740346069566,-1.2375798740335948,-2.2379276668848522
2020-04-03,-1.9484298859279914,-1.2861382677766957,-2.306897009494334
2020-04-06,-1.7394819732577342,-1.0156943672590089,-2.0231083201900817
2020-04-07,-1.736487866601291,-1.0020075511918176,-2.012165375552679
2020-04-08,-1.6048935940909248,-0.8320853870682636,-1.8371576179614364
2020-04-09,-1.539279448984603,-0.7253257389399418,-1.7169490470981974
2020-04-13,-1.6020738380795068,-0.7938979882918955,-1.835562587389939
2020-04-14,-1.5077734492086479,-0.6668644557247365,-1.726185492901936
2020-04-15,-1.6112052614303618,-0.766096939652803,-1.8602099788668498
2020-04-16,-1.6006650349093314,-0.7559615866715552,-1.854574602748822
2020-04-17,-1.4835480839160227,-0.6190439612472587,-1.7083684315969887
2020-04-20,-1.5611818287819874,-0.6954335313081089,-1.8113531711336397
2020-04-21,-1.6552662418324176,-0.8299145936834021,-1.9199909736602292
2020-04-22,-1.5877101408674452,-0.766731411934825,-1.8378826968318218
2020-04-23,-1.6004431229571672,-0.7699235462790552,-1.8449638200204752
2020-04-24,-1.5597403739511495,-0.7220091189870009,-1.789146903631867
2020-04-27,-1.491004872589298,-0.6293283714870037,-1.6811113954541184
2020-04-28,-1.4683987049106768,-0.6101270385385025,-1.6604590375528192
2020-04-29,-1.405643551532329,-0.5079565274505001,-1.5734292296294947
2020-04-30,-1.4761959956363708,-0.5890684639378562,-1.671051678445111
2020-05-01,-1.5677341139630732,-0.720694061395484,-1.7954828491320451
2020-05-04,-1.560793396248189,-0.703958703161534,-1.7963554019640073
2020-05-05,-1.5278969559622109,-0.6734345378230242,-1.755456696457643
2020-05-06,-1.5850333056232448,-0.6974044106779669,-1.8103724797908596
2020-05-07,-1.5455706167314567,-0.6364700602629365,-1.7551386614380458
2020-05-08,-1.4710927635828115,-0.5616203597161071,-1.6615986240518856
2020-05-11,-1.4871231683540904,-0.578323107745798,-1.6830034840665056
2020-05-12,-1.5509353310744132,-0.685713460068898,-1.7907208243811708
2020-05-13,-1.622713967613639,-0.7683074582822259,-1.881983554696989
2020-05-14,-1.592274108819041,-0.7291043500450027,-1.8248908953590643
2020-05-15,-1.5807599337519864,-0.7072581118802101,-1.8220473708871345
2020-05-18,-1.448171568390286,-0.5394041957395715,-1.6396434364075099
2020-05-19,-1.4961371276159405,-0.5837973936274043,-1.6989128736705137
2020-05-20,-1.4546849734449174,-0.5112451777131499,-1.6330558406985043
2020-05-21,-1.4738274424939692,-0.5653222663288242,-1.6579937075065123
2020-05-22,-1.4627390695340492,-0.5474205888680054,-1.6454458184473038
2020-05-26,-1.402392447314661,-0.46279320814558883,-1.54201808072421
2020-05-27,-1.3308529378757645,-0.37389548103243764,-1.457749973003019
2020-05-28,-1.3246347714981874,-0.3750723000691675,-1.449733687387915
2020-05-29,-1.3123587863395911,-0.34448105649063393,-1.4290146245711433
2020-06-01,-1.2932436969257302,-0.3026464318595999,-1.4009489721244284
2020-06-02,-1.2606391149071823,-0.27918567215475026,-1.3560242714449968
2020-06-03,-1.2003007312893306,-0.2081459756796082,-1.2579224224188
2020-06-04,-1.2118864653147172,-0.19989901612231153,-1.2729295338386943
2020-06-05,-1.1146151088394283,-0.07176246470914527,-1.1489514790776991
2020-06-08,-1.0495538281748784,0.021821051558440448,-1.0763117388130568
2020-06-09,-1.1269367871187996,-0.06993430355142596,-1.1699257655102542
2020-06-10,-1.1831327938437908,-0.12522621314238944,-1.2407057455311112
2020-06-11,-1.4049718129098716,-0.42669226539969807,-1.5238215093159633
2020-06-12,-1.3679503648652416,-0.33672240230555833,-1.4604824934889924
2020-06-15,-1.3318830079347528,-0.291521240448315,-1.4083159029878185
2020-06-16,-1.2665827688959497,-0.21813477923881328,-1.3373576579253554
2020-06-17,-1.2898322235933828,-0.23400741043149914,-1.3611235683557767
2020-06-18,-1.2879860514727484,-0.24234004466701325,-1.3694848908440933
2020-06-19,-1.3276004001929276,-0.2628208277071804,-1.412273916250304
2020-06-22,-1.321638905559295,-0.2556946268744395,-1.4008302055865323
2020-06-23,-1.3268668901009582,-0.2480283391670552,-1.405078570612501
2020-06-24,-1.4262934535720264,-0.3905326505436002,-1.5335877445273032
2020-06-25,-1.398604248106625,-0.3510537097413733,-1.4902806447855823
2020-06-26,-1.4645864995066429,-0.43539958186452604,-1.5764919907932864
2020-06-29,-1.3979576475235875,-0.3632769250319243,-1.50078198016999
2020-06-30,-1.3589229451032818,-0.292969447916136,-1.429636770892216
2020-07-01,-1.3508090700748527,-0.2709862049015437,-1.4194049938716053
